city,Delicious Chinese food and service,Delicious food and friendly service.,Dining experience and atmosphere,Food quality and value,Friendly service and great drinks,Pharmacy service quality concerns,Poor service and rude staff,Positive dining experiences.,Restaurant quality and service issues,Service and order issues
Affton,0.0,0.0,13.333333333333334,0.0,40.0,6.666666666666667,20.0,0.0,6.666666666666667,13.333333333333334
Alton,0.0,7.142857142857142,0.0,14.285714285714285,0.0,0.0,0.0,50.0,14.285714285714285,14.285714285714285
Apollo Beach,0.0,7.142857142857142,0.0,0.0,0.0,64.28571428571429,0.0,7.142857142857142,14.285714285714285,7.142857142857142
Ardmore,0.0,0.0,38.46153846153847,0.0,15.384615384615385,46.15384615384615,0.0,0.0,0.0,0.0
Arnold,0.0,0.0,0.0,0.0,6.25,0.0,37.5,18.75,18.75,18.75
Atco,0.0,21.428571428571427,0.0,57.14285714285714,0.0,0.0,0.0,7.142857142857142,14.285714285714285,0.0
Avon,0.0,25.0,0.0,18.75,12.5,0.0,0.0,43.75,0.0,0.0
Belleville,0.0,16.666666666666664,3.3333333333333335,0.0,3.3333333333333335,3.3333333333333335,26.666666666666668,13.333333333333334,23.333333333333332,10.0
Boise,0.0,0.0,4.651162790697675,0.0,23.25581395348837,27.906976744186046,4.651162790697675,27.906976744186046,6.976744186046512,4.651162790697675
Boothwyn,0.0,0.0,6.25,0.0,25.0,6.25,62.5,0.0,0.0,0.0
Brentwood,0.0,6.0606060606060606,33.33333333333333,0.0,0.0,21.21212121212121,18.181818181818183,0.0,12.121212121212121,9.090909090909092
Bristol,0.0,6.25,0.0,56.25,0.0,0.0,0.0,0.0,12.5,25.0
Broomall,0.0,0.0,78.57142857142857,0.0,0.0,7.142857142857142,7.142857142857142,0.0,7.142857142857142,0.0
Brownsburg,0.0,6.25,50.0,0.0,0.0,6.25,6.25,6.25,25.0,0.0
Carmel,0.0,6.666666666666667,0.0,20.0,6.666666666666667,0.0,0.0,20.0,46.666666666666664,0.0
Chadds Ford,0.0,7.6923076923076925,0.0,30.76923076923077,0.0,0.0,0.0,53.84615384615385,7.6923076923076925,0.0
Cherry Hil,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Chesterfield,5.88235294117647,0.0,82.35294117647058,0.0,0.0,0.0,11.76470588235294,0.0,0.0,0.0
Clearwater,0.0,0.0,0.0,0.0,0.0,72.22222222222221,27.77777777777778,0.0,0.0,0.0
Collegeville,0.0,0.0,7.142857142857142,71.42857142857143,0.0,0.0,7.142857142857142,0.0,7.142857142857142,7.142857142857142
Collinsville,0.0,0.0,0.0,0.0,0.0,12.5,18.75,25.0,31.25,12.5
